Name,Country,Rating,Pos_Review,Neg_Review
Chi,Việt Nam,8,Không có gì để thích,"Sạch sẽ chưa tốt lắm, toilet có mùi hôi rất khó chịu. Khách sạn đã cũ chưa được nâng cấp."
Thi,Việt Nam,10,"Khách sạn vị trí thuận lợi , bữa sáng đầy đủ nhân viên nhiệt tình Linh",
Thang,Hà Lan,10,"Phong đẹp, vị trí tốt, nhân viên Henry nhiệt tình tiếp đón. Sẽ quay lại sớm",
Loi,Việt Nam,9,Vị trí khá gần trung tâm phố cổ,Wifi yếu chập chờn
Lê,Việt Nam,10,Nhân viên Diep tot,
Hieu,Úc,8,"Địa điểm, nhân viên tận tình, Điệp rất vui vẻ và thân thiện, check in và check out nhanh lẹ. Khách sạn đáp ứng mọi nhu cầu của khách khi có yêu cầu.",
David,Úc,10,"Nhân viên nhiệt tình Alex 
Khách sạn đẹp view triệu đô sẽ quay lại",
Luu,Vương Quốc Anh,10,"Tôi thích nhân viên thân thiện và chu đáo. Phòng thoáng mát, tiện nghi, giá cả hợp lý ❤️❤️",
Chan,Việt Nam,10,"Vị trí rất thuận tiện, phòng xinh, giá hợp lý, bf sáng ngon đa dạng. Qtrong là nv siêu nhiệt tình ấy. mình book cho ng thân đi mà bác mình cứ khen mãi thôi. Huhu các bạn hỗ trợ check in nhanh gọn còn book xe cho bác mình ra bến xe nữaaaa.",
Ha,Việt Nam,8,"địa điểm tuyệt vời, được nâng hạng phòng miễn phí, nhân viên siêu dễ thương","mùi khách sạn rất tệ, sảnh, hành lang đều rất ghê."
Nguyen,Canada,10,"Phong dep, Gia dep, thank Diep",
Lê,Việt Nam,10,"Khách sạn vị trị thuận lời, nhân viên nhiệt tình, bữa  sáng ngon, và cảm ơn anh Alex đã ở trợ rất nhiệt tình",
Lan,Việt Nam,10,"Phòng đẹp, giá tốt, vị trí thuận tiện. Nhân viên Điệp hỗ trợ nhiều",
Trung,Mỹ,10,"Khách sạn có không gian đẹp, thoáng, nhân viên thân thiện và phục vụ tốt, tư vấn nhiệt tình, giọng bạn lễ tân rất ngọt ngào, lần sau đi công tác sẽ quay lại Ks nghỉ ngơi",
Quyên,Việt Nam,10,"Vị trí trung tâm, nhân viên chu đáo, rất dễ thương",Phòng hơi nhỏ
Thế,Việt Nam,10,"Phòng đẹp, giá tốt, vị trí thuận lợi. Nhân viên Điệp nhiệt tình",
Quang,Việt Nam,10,"Nhân viên lễ tân thân thiện, nhiệt tình.
Phòng sạch đẹp, gọn gàng hơp lý, đầy đủ tiện nghi Giường sạch, êm, thơm tho.
Vị trí thuận tiện công tác, xung quanh nhiều nhà hàng, siêu thị",
Trâm,Việt Nam,10,"Phòng đẹp giá tốt, nhân viên Điệp nhiệt tình",
Loc,Cộng hoà Séc,10,Nhân viên thân thiện . Nói chung rất là oki,
Trang,Mỹ,10,"Phòng sạch sẽ thơm tho, decor đẹp, đáng giá tiền, cách âm tốt.
Đã đến đây lần thứ 2.",
Công,Việt Nam,10,"Phòng đẹp, rộng. Nhân viên Điệp nhiệt tình",
Phuong,Việt Nam,10,"Phòng đẹp giá tốt, ăn sáng nhiều lựa chọn. Cảm ơn anh Điệp Vinh đã hỗ trợ",
Jenny,Việt Nam,10,Nhân viên nhiệt tình ... Điệp,Không có
Minh,Việt Nam,8,,"wifi, cần thay đổi wifi gấp, không sử dụng được, đây là lần ở thứ 2"
Nhung,Việt Nam,10,"Phòng đẹp, giá tốt, nhân viên nhiệt tình nhất là bạn Điệp, Vinh . Sẽ quay lại khi có dịp",
Thanh,Việt Nam,10,"Rộng rãi, nội thất và thiết kế đẹp. Nằm tại trung tâm, xung quanh rất tiện lợi",
Thanh,Việt Nam,10,Vị trí tuyệt vời nhân viên vui vẻ Diep,
Thanh,Việt Nam,10,"Khách sạn tuyệt vời , nhân viên nhiệt tình Điêp",
Thanh,Việt Nam,10,"Khách sạn đẹp view phố , nhân viên nhiệt tình Vinh cute",
Ai,Việt Nam,10,"Nhân viên vô cùng lễ phép và dễ thương, chu đáo. Địa điểm rất thuận tiện, phòng sạch sẽ và đẹp. Phòng decor xinh sạch sẽ, lễ tân cũng nhiệt tình",
Duc,,9,,Cần nâng cấp toilet
Lou,Việt Nam,10,"Nhân viên nhiệt tình , lần sau nếu có dịp ra hà nội chơi vẫn sẽ chọn nơi này",
Nguyen,Việt Nam,10,"Khách sạn yên tĩnh, sạch sẽ, nhân viên khách sạn rất thân thiện và nhiệt tình.",
Anh,Việt Nam,10,Cảm ơn nhân viên Vinh Diep,
Thuy,Việt Nam,10,"Sạch sẽ, nhiệt tình",không có
Vinh,Việt Nam,10,"everything, andrew và Alex,  Minh ok",
Do,Việt Nam,10,"phòng đẹp, giá tốt, nhân viên hỗ trợ nhiều. bạn Điệp nhiệt tình
tình",
Hương,Việt Nam,10,"Phòng đẹp, rộng, ăn sáng nhiều lựa chọn. Nhân viên Điệp nhiệt tình",
Xuân,Việt Nam,10,"Khách sạn tốt, vị trí đẹp. Nhân viên Vinh hỗ trợ rất nhiệt tình.",
Nhung,Việt Nam,9,Nhà mình đặt dịp lễ nhưng giá rất tốt lại gồm cả ăn sáng. Địa điểm đẹp gần phố cổ gần các chỗ đi ăn chơi luôn.,
Tiêu,Việt Nam,10,"Khách sạn ngay phố cổ, tiện nghi đầy đủ, lễ tân nhiệt tình",Không
Thảo,Việt Nam,10,"Khách sạn đẹp , nhân viên nhiệt tình Diep",
Từ,Việt Nam,10,"Vị trí đẹp, phòng ở sạch sẽ thoáng mát, nhân viên Alex nhiệt tình thân thiện",
Nguyen,Việt Nam,10,Nhân viên Điệp,
Linh,Việt Nam,10,"Khách sạn đẹp view phố bữa sáng đầy đủ ngon . Nhân viên vui vẻ nhiệt tình Diep ,Vinh",
Phuong,Việt Nam,10,"khách sạn tuyệt vời,  bữa sáng ngon , nhân viên chu đáo nhiệt tình Phước , Điệp",
Lan,Việt Nam,10,"Khách sạn tốt, giá đẹp, ăn sáng nhiều lựa chọn. Cảm ơn bạn Điệp rất nhiệt tình",
Bui,Việt Nam,10,"nhân viên cực kì thân thiện, tháo vát và hiếu khách. phòng sạch sẽ. vị trí thuận tiện cho việc đi du lịch.",
Duy,Việt Nam,10,"Khách sạn đẹp,giá cả phải chăng,nhân viên hữu ích,sẽ quay lại đây nhiều lần vì sự phục vụ tử tế,Rất hài lòng",
Thanh,Việt Nam,8,"Vị trí, đồ ăn, nhân viên đều ổn.
Cảm ơn bạn lễ tân đã dậy sớm mở xe mình đi thể dục","Trải nghiệm ban đầu không được vui lắm: m book phòng trước 1 tuần loại ko đổi trả, đến gửi hành lý từ sớm, nhưng sát h nhận phòng thì nhân viên lại gọi bảo huỷ phòng mình do over. Sau khi trao đổi thì đồng ý giữ phòng như cũ."
Zin,Việt Nam,10,"Khách sạn đẹp , vị trí tốt , bữa sáng đầy đủ . Nhân viên nhiệt tình Phuoc , Vinh ,Diep , Hoang ,Huy",
Tuấn,Việt Nam,10,"Khách sạn vị trí tốt gần chợ Đồng Xuân , view 3 mặt tiền , đồ ăn sáng ngon đúng vị . Nhân viên nhiệt tình Vinh ,Phuoc",
Anh,Việt Nam,10,"La passion có một vị trí thuận lợi trong phố cổ , phòng lớn với tiện nghi đã được tái đầu tư nên rất mới . Cảm ơn Mr Dior và Phước đã giúp đỡ mình trong quá trình lưu trú . Hẹn gặp lại trong ngày sớm nhất",
Ngan,Việt Nam,10,Cảm ơn Henry và mr Vinh đã hỗ trợ trong thời gian lưu trú. Thank,
Dung,Việt Nam,10,"Phòng có 2 cửa sổ ra thành phố, ko bị ồn do giao thông, rộng rãi, giá cả hợp lý. Nhân viên tốt bụng, cảm ơn Điệp, Phước",
Thắng,Việt Nam,10,"Mọi thứ đều tốt, mr Điệp chuẩn men",
Lam,Việt Nam,10,cảm ơn bạn Điệp hỗ trợ tôi nhiều. hotel rất tốt. cảm ơn,
Trang,Việt Nam,10,"Dịch vụ khách sạn tốt, bữa sáng nhiều lựa chọn, vị trí tốt, nhân viên Điệp nhiệt tình",
Thanh,Việt Nam,10,"Ăn sáng rất phong phú, khách sạn vừa được sửa chữa, phòng đẹp và thoáng. Nhân viên nhiệt tình nhất là đồng chí Vinh và e Huy, Điệp. Thuận tiện giao thông.",
Ngọc,Việt Nam,10,"Nhân viên thân thiện, tôi ấn tượng với ban Điệp nhiệt tình, chu đáo, vị trí thuận lợi, phòng sạch sẽ",Không có
Thị,Việt Nam,10,nhân viên tên Điệp,
Nguyen,Việt Nam,10,Du lịch 2 đêm tại Hà Nội được thưởng thức dịch vụ rất tốt tại khách sạn. Phòng đẹp phù hợp với giá tiền. Thuận tiện đi lại thăm quan. Nhân viên nhiệt tình. Nhận được giúp đỡ rất nhiều của Vinh và Điệp. Sẽ quay lại khi có dịp.,
Pham,Việt Nam,10,"Khách sạn ngay khu phố cổ, tiện nghi.
Nhân viên vô cùng lịch sự và thân thiện.",
海燕,Đài Loan,10,"Vị trí tiện lợi,phòng rộng ,lễ tân cực kỳ nhiệt tình .Lân sau nhất định sẽ lại đến ở
市中心非常方便，服務房間都非常好。下次一定會再來",
Hong,Việt Nam,10,"Cảm ơn Vinh, Điệp bộ phận lễ tân, phòng ok, vị trí đẹp, sẽ quay lại đợt tới",No
Nguyen,Việt Nam,10,"Rộng rãi, nhân viên nhiệt tình, lễ tân Vinh",
Duy,Việt Nam,10,"Nhân viên nhiệt tình , sắp xếp chu đáo , gần trung tâm và tiện lợi",
Vuong,Việt Nam,8,Nhân viên phục vụ nhiệt tình,Toilet
Ngoc,Việt Nam,8,"Nhân viên thân thiện nhiệt tình, sạch sẽ.","Mình đặt phòng giường đôi lớn, cho phòng 2 giường đơn ghép lại cũng chấp nhận được, tuy nhiên ngay giữa 2 giường ghép lại có một cây đèn ngủ chấn ngay đầu giường không tháo ra, để vậy luôn khác gì phòng giường đơn nhỏ chứ. Làm ngủ bị đụng đầu miết. Rất không hài lòng về điều này. 😡😡😡"
Uyên,Việt Nam,10,"Khách sạn gần phố cổ có 3 mặt tiền thuận tiện đi lại nhiều địa điểm nỏi tiếng tại Hà Nội . Bữa sáng đầy đủ , đa dạng nhiều món ăn , nhân viên khách sạn cực kì dễ thương và nhiệt tình Phước , Điệp , Vinh , Huy , Quân , Hoàng cảm ơn các bạn và khách sạn nhiều . Lần tới có dịp ra Hà Nội mình sẽ ghé thăm",Không gì
Oanh,Việt Nam,10,"Khách sạn mới sửa chữa khá là đẹp, chất lượng tuyệt vời, vị trí trung tâm thành phố. Hợp lý để đi du lịch thăm quan Hà Nội. Nhân viên nhiệt tình nhất là Henry và mr Vinh",
Bảo,Việt Nam,10,"ăn sáng ngon, thuận tiện giao thông, cảm ơn Điệp lễ tân",
Bảo,Việt Nam,10,"khách sạn phố cổ đẹp, vị trí tuyệt vời, lễ tân Vinh nhiệt tình",
Shafik,Thụy Điển,10,"Ngay trung tâm, tiện đi lại và khám phá phố Cổ, nhiều quán ăn ngon. Nhân viên lễ tân Điệp rất thân thiện và giúp đỡ nhiệt tình.","Nước hơi yếu, TV ko có chương trình"
Thị,Việt Nam,10,"Khách sạn thông thoáng, phòng đẹp, view thành phố, nhân viên nhiệt tình, Henry, dior rất nhiệt tình, sẽ quay lại đợt tới",
Thao,Việt Nam,10,"Địa điểm đẹp, nhân viên Điệp nhiệt tình, giá hợp lý",
Thanh,Việt Nam,10,"Không có điều gì có thể chê được . Với sự giúp đỡ của đội ngũ nhân viên chuyên nghiệp . Phước , Điệp , Vinh , Huy và Hoàng đã làm nên khách sạn đáng ở nhất hà nội . Chắc chắn sẽ quay lại lần tới",
