Name,Country,Rating,Pos_Review,Neg_Review
Hoàng,Việt Nam,9.0,"Không gian ấm cúng, sạch sẽ, nhân viên niềm nở. Gần phố đi bộ và nhiều quán ăn ngon.",
Hiền,Việt Nam,9.0,"Check-in nhanh gọn, phòng view đẹp, yên tĩnh dù nằm ở Quận 1. Rất hài lòng, sẽ quay lại!",
Giang,Việt Nam,9.0,"Dịch vụ phòng ăn ngon và phong phú, nhưng giá hơi cao. Nhân viên nhiệt tình và chuyên nghiệp.",
Luong,Việt Nam,9.0,"Khách sạn có thiết kế đẹp, trang trí tinh tế và sang trọng. Không gian rất dễ chịu.",Không có chỗ đậu xe riêng
Nguyen,Việt Nam,9.0,"Gần sân bay, di chuyển rất thuận tiện. Nhân viên bảo vệ hỗ trợ mang hành lý nhiệt tình.",Nội thất phòng hơi cũ
Lưu,Việt Nam,9.0,"Giường ngủ êm ái, chăn ga sạch sẽ",hưng ánh sáng trong phòng hơi yếu.
Lưu,Việt Nam,9.0,Nhân viên rất thân thiện và dịch vụ tốt,Điểm trừ nhỏ là Wi-Fi hơi chậm
Chung,Việt Nam,9.0,"Khách sạn ngay trung tâm, đi bộ vài phút là tới nhiều điểm tham quan. Phòng sạch sẽ, nhân viên dễ thương. ok nha",
Pham,Việt Nam,9.0,"Phòng ngủ luôn được dọn dẹp kỹ, khăn và ga được thay mới hằng ngày. Nhân viên trực 24/24",Thang máy nhỏ và chậm
Nguyen,Việt Nam,9.0,"Phòng sạch sẽ, tiện nghi đầy đủ. Thiết kế hiện đại, trang trí đẹp mắt.",Âm thanh cách âm chưa tốt
Ho,Việt Nam,9.0,"Nội thất trong phòng còn mới, sạch sẽ và trang trí hiện đại.",Cửa sổ không cách âm tốt
Binhgiang,Việt Nam,9.0,"Nhân viên hỗ trợ rất tận tâm, xử lý nhanh mọi yêu cầu.",Khong Co
Bin,Việt Nam,9.0,"Vị trí khách sạn rất thuận tiện, gần trung tâm và nhiều địa điểm ăn uống, mua sắm. Đi bộ vài phút là tới chợ đêm.","Phòng hơi nhỏ, không phù hợp với gia đình đông người"
Thiên,Việt Nam,9.0,Khách sạn làm mình hài lòng hơn dự đoán.,
Nguyễn,Việt Nam,9.0,"Mình đi du lịch với nhà, ba mẹ mình rất thích khách sạn này, mọi thứ đều oki hết, riêng mình thì hơi hok thích bữa sáng do hok hợp khẩu vị lắm nhưng mà với giá này thì quá okila rồi",
Thị,Pháp,9.0,"Không gian được sắp xếp thông minh, mọi thứ tiện lợi.",
Nguyen,Việt Nam,9.0,Dù ở gần thang máy nhưng không hề nghe tiếng ồn—rất tuyệt.,
Nguyen,Úc,9.0,"Nhân viên lễ tân rất dễ mến, luôn tươi cười và chào đón nồng nhiệt",
Lê,Việt Nam,9.0,"Dịch vụ tại đây thật sự làm tôi ấn tượng, từ việc đón tiếp đến các dịch vụ hỗ trợ đều rất chuyên nghiệp.",
